shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
Autonomes Frauenhaus Regensburg,2225,48.98322105,12.151901371455,Regensburg,Kreisfreie Stadt,DE232,DE2,Bayern
Frauenhaus Rosenheim/Traunstein,2269,47.8571272,12.1181047,Rosenheim,Kreisfreie Stadt,DE213,DE2,Bayern
Frauenhaus Schwabach,2177,49.329349195087,11.024939052197,Schwabach,Kreisfreie Stadt,DE255,DE2,Bayern
Frauenhaus im Landkreis Schwandorf,2195,49.3263177,12.1038045,Schwandorf,Landkreis,DE239,DE2,Bayern
Frauenhaus für die Region Main-Rhön in Schweinfurt,2054,50.04723375,10.224025804585,Schweinfurt,Kreisfreie Stadt,DE262,DE2,Bayern
Frauenhaus Hochfranken,2119,50.162945060814,12.134807622047,Wunsiedel i. Fichtelgebirge,Landkreis,DE24D,DE2,Bayern
Frauenhaus Straubing,2108,48.8777333,12.5801539,Straubing,Kreisfreie Stadt,DE223,DE2,Bayern
Frauenhaus Weiden,2071,49.677827673914,12.154750706237,Weiden i.d. OPf.,Kreisfreie Stadt,DE233,DE2,Bayern
Frauen helfen Frauen e.V.,2275,47.915446386913,11.423220582099,Bad Tölz-Wolfratshausen,Landkreis,DE216,DE2,Bayern
Frauenhaus SkF,2117,49.7646014,9.9055338,Würzburg,Kreisfreie Stadt,DE263,DE2,Bayern
AWO Frauenhaus Würzburg,2138,49.802231315947,9.936143759985,Würzburg,Kreisfreie Stadt,DE263,DE2,Bayern
Frauenhaus Freising,2422,48.399763713312,11.735230175261,Freising,Landkreis,DE21B,DE2,Bayern
SkF Frauenhaus Kaufbeuren-Ostallgäu,2444,47.8899307307,10.626108318125,Kaufbeuren,Kreisfreie Stadt,DE272,DE2,Bayern
Frauenhaus Amberg,2493,49.434897926183,11.845632636832,Amberg,Kreisfreie Stadt,DE231,DE2,Bayern
Frauenhaus Nordschwaben,2514,48.6042127,10.5888474,Dillingen a.d. Donau,Landkreis,DE277,DE2,Bayern
Frauen-und Kinderschutzhaus Aschersleben,2291,51.7559549,11.462134,Salzlandkreis,Landkreis,DEE0C,DEE,Sachsen-Anhalt
Frauen- und Kinderschutzhaus Ballenstedt,2280,51.722527,11.2290268,Harz,Landkreis,DEE09,DEE,Sachsen-Anhalt
Frauen- und Kinderschutzhaus Bernburg (Saale),2227,51.783018835759,11.754099790778,Salzlandkreis,Landkreis,DEE0C,DEE,Sachsen-Anhalt
Frauenhaus Bitterfeld-Wolfen,2295,51.641033099699,12.307324408998,Anhalt-Bitterfeld,Landkreis,DEE05,DEE,Sachsen-Anhalt
DRk Frauenschutzhaus Burg,2307,52.269276139014,11.852119516482,Jerichower Land,Landkreis,DEE06,DEE,Sachsen-Anhalt
Frauenhaus Dessau-Roßlau,2304,51.8311104,12.2429261,Dessau-Roßlau,Kreisfreie Stadt,DEE01,DEE,Sachsen-Anhalt
Frauenschutzhaus,2310,51.4825041,11.9705452,Halle (Saale),Kreisfreie Stadt,DEE02,DEE,Sachsen-Anhalt
