shelter_name,shelter_id,bundesland,bez,gen,latitude,longitude,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Frauen- und Kinderschutzhaus Dorsten,2115,Nordrhein-Westfalen,Kreis,Recklinghausen,51.654119376554,6.963879626385,0.05593803786574871,0.04991394148020654,0.0,0.8941480206540448,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Freiburg,2092,Baden-Württemberg,Stadtkreis,Freiburg im Breisgau,48.0327354,7.857524774655,0.0017211703958691911,0.0,0.0,0.9982788296041308,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Hannover,2085,Niedersachsen,Landkreis,Region Hannover,52.365613497692,9.755097172235,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Heckertstift,2008,Baden-Württemberg,Stadtkreis,Mannheim,49.492173028558,8.452588097834,0.06110154905335628,0.22633390705679862,0.0,0.5714285714285714,0.0,0.0025817555938037868,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Heidenheim,2239,Baden-Württemberg,Landkreis,Heidenheim,48.682679502339,10.139461490017,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Heilbronn,2126,Baden-Württemberg,Stadtkreis,Heilbronn,49.140048540701,9.219636925251,0.0,0.012908777969018933,0.01721170395869191,0.9698795180722891,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Konstanz,2408,Baden-Württemberg,Landkreis,Konstanz,47.681740847498,9.158822455441,0.00946643717728055,0.09036144578313253,0.2099827882960413,0.346815834767642,0.018072289156626505,0.31841652323580033,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Krefeld,2229,Nordrhein-Westfalen,Kreisfreie Stadt,Krefeld,51.331785882029,6.558523443055,0.008605851979345954,0.06454388984509467,0.020654044750430294,0.9061962134251291,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Kreis Viersen,2156,Nordrhein-Westfalen,Kreis,Viersen,51.253916413955,6.389885517278,0.0,0.0017211703958691911,0.04819277108433735,0.9500860585197934,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Landkreis Leipzig,2003,Sachsen,Landkreis,Leipzig,51.124032663272,12.506939561096,0.025817555938037865,0.1962134251290878,0.0,0.7779690189328744,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Leipzig,2376,Sachsen,Kreisfreie Stadt,Leipzig,51.3406321,12.3747329,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,True,False,False,False
Frauen- und Kinderschutzhaus Merseburg,2030,Sachsen-Anhalt,Landkreis,Saalekreis,51.3568506,11.9904345,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Moers,2330,Nordrhein-Westfalen,Kreis,Wesel,51.446276386047,6.636759749098,0.0051635111876075735,0.0,0.022375215146299483,0.9724612736660929,0.0,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Neckar-Odenwald-Kreis,2234,Baden-Württemberg,Landkreis,Neckar-Odenwald-Kreis,49.3489153,9.1293829,0.06798623063683305,0.0,0.020654044750430294,0.18244406196213425,0.0189328743545611,0.7099827882960413,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Neubrandenburg,2216,Mecklenburg-Vorpommern,Landkreis,Mecklenburgische Seenplatte,53.557445799999996,13.2602781,0.0,0.0,0.2710843373493976,0.19879518072289157,0.0,0.5301204819277109,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Pirna,2072,Sachsen,Landkreis,Sächsische Schweiz-Osterzgebirge,50.9624776,13.9284303,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Radebeul,2045,Sachsen,Landkreis,Meißen,51.1031702,13.6215949,0.0,0.0,0.7289156626506024,0.0,0.0,0.2710843373493976,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Radolfzell,2258,Baden-Württemberg,Landkreis,Konstanz,47.7409243,8.955847834383,0.0,0.004302925989672977,0.025817555938037865,0.697934595524957,0.0,0.2719449225473322,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Rems-Murr-Kreis,2206,Baden-Württemberg,Landkreis,Rems-Murr-Kreis,48.830787760572,9.325598847299,0.0,0.0,0.01721170395869191,0.5593803786574871,0.0,0.423407917383821,Frauenhaus,True,False,False,False
Frauen- und Kinderschutzhaus Sangerhausen,2058,Sachsen-Anhalt,Landkreis,Mansfeld-Südharz,51.4798304,11.2943896,0.0,0.0051635111876075735,0.5516351118760757,0.2512908777969019,0.0,0.1919104991394148,Frauenhaus,False,False,False,False
Frauen- und Kinderschutzhaus Staßfurt,2175,Sachsen-Anhalt,Landkreis,Salzlandkreis,51.846982652569,11.592657358624,0.0,0.0,0.0,0.14113597246127366,0.0,0.8588640275387264,Frauenhaus,False,False,False,False
